ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),TIME_SINCE_TROUBLE_CODES_CLEARED (),WARM_UPS_SINCE_CODES_CLEARED (),DTC
0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,100,0,25,5,434.700012,295.100006,12.324,7835,255,2
0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,100,0,25,5,434.700012,295.100006,12.343,7835,255,2
0,0,0,17.647058,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,100,0,25,5,434.700012,295.100006,12.343,7835,255,2
0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,100,0,25,5,434.700012,295.100006,12.343,7835,255,2
0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,49.803921,16.078432,31.764706,13.333333,100,0,25,5,434.700012,295.100006,12.343,7835,255,2
0,0,0,18.039215,0,25,-2.34375,0,101,36.07843,44.705883,16.078432,31.764706,19.215687,100,0,25,5,434.700012,295.100006,10.332,7835,255,2
0,1732.75,0,18.039215,27.843138,25,2.34375,0,26,36.07843,44.705883,16.078432,31.764706,19.215687,100,0,25,24,434.700012,295.100006,10.332,7835,255,0
1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,44.705883,16.078432,31.764706,19.215687,100,0,24,24,434.700012,295.100006,10.332,7835,255,1
1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,52.156864,16.078432,31.764706,19.215687,100,0.784314,24,24,434.700012,295.100006,11.953,7835,255,0
1,1732.75,0,20,27.843138,25,2.34375,0,26,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,24,24,434.700012,295.100006,11.953,7835,255,2
1,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,24,24,434.700012,295.100006,11.953,7835,255,0
3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,24,24,434.700012,295.100006,11.953,7835,255,2
3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,24,24,25.699997,24.599998,14.14,7835,255,0
3,1820.25,0,20,23.529411,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,24,24,25.699997,24.599998,14.14,7835,255,1
4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,25,21,25.699997,24.599998,14.14,7835,255,1
4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,52.156864,16.078432,31.764706,20,100,0.784314,25,21,30.099998,24.599998,14.14,7835,255,0
